Region,Division,State,year,num_crimes
South,East South Central,Alabama,1960,null
West,Pacific,Alaska,1960,236
West,Mountain,Arizona,1960,2704
South,West South Central,Arkansas,1960,1924
West,Pacific,California,1960,37558
West,Mountain,Colorado,1960,2408
Northeast,New England,Connecticut,1960,928
South,South Atlantic,Delaware,1960,375
South,South Atlantic,District of Columbia,1960,4230
South,South Atlantic,Florida,1960,11061
South,South Atlantic,Georgia,1960,6262
West,Pacific,Hawaii,1960,138
West,Mountain,Idaho,1960,255
Midwest,East North Central,Illinois,1960,36802
Midwest,East North Central,Indiana,1960,3945
Midwest,West North Central,Iowa,1960,656
Midwest,West North Central,Kansas,1960,1272
South,East South Central,Kentucky,1960,2957
South,West South Central,Louisiana,1960,4990
Northeast,New England,Maine,1960,289
South,South Atlantic,Maryland,1960,4691
Northeast,New England,Massachusetts,1960,2512
Midwest,East North Central,Michigan,1960,17034
Midwest,West North Central,Minnesota,1960,1435
South,East South Central,Mississippi,1960,2236
Midwest,West North Central,Missouri,1960,7468
West,Mountain,Montana,1960,453
Midwest,West North Central,Nebraska,1960,590
West,Mountain,Nevada,1960,416
Northeast,New England,New Hampshire,1960,81
Northeast,Middle Atlantic,New Jersey,1960,6932
West,Mountain,New Mexico,1960,1360
Northeast,Middle Atlantic,New York,1960,null
South,South Atlantic,North Carolina,1960,10182
Midwest,West North Central,North Dakota,1960,90
Midwest,East North Central,Ohio,1960,8120
South,West South Central,Oklahoma,1960,2258
West,Pacific,Oregon,1960,1232
Northeast,Middle Atlantic,Pennsylvania,1960,11203
Northeast,New England,Rhode Island,1960,316
South,South Atlantic,South Carolina,1960,3424
Midwest,West North Central,South Dakota,1960,282
South,East South Central,Tennessee,1960,3250
South,West South Central,Texas,1960,15428
West,Mountain,Utah,1960,484
Northeast,New England,Vermont,1960,37
South,South Atlantic,Virginia,1960,7286
West,Pacific,Washington,1960,1616
South,South Atlantic,West Virginia,1960,1200
Midwest,East North Central,Wisconsin,1960,1261
West,Mountain,Wyoming,1960,362
South,East South Central,Alabama,1961,5564
West,Pacific,Alaska,1961,208
West,Mountain,Arizona,1961,2288
South,West South Central,Arkansas,1961,1809
West,Pacific,California,1961,38154
West,Mountain,Colorado,1961,2659
Northeast,New England,Connecticut,1961,878
South,South Atlantic,Delaware,1961,318
South,South Atlantic,District of Columbia,1961,4491
South,South Atlantic,Florida,1961,11376
South,South Atlantic,Georgia,1961,6269
West,Pacific,Hawaii,1961,161
West,Mountain,Idaho,1961,222
Midwest,East North Central,Illinois,1961,37156
Midwest,East North Central,Indiana,1961,4044
Midwest,West North Central,Iowa,1961,643
Midwest,West North Central,Kansas,1961,1282
South,East South Central,Kentucky,1961,2907
South,West South Central,Louisiana,1961,4508
Northeast,New England,Maine,1961,334
South,South Atlantic,Maryland,1961,4959
Northeast,New England,Massachusetts,1961,2777
Midwest,East North Central,Michigan,1961,16499
Midwest,West North Central,Minnesota,1961,1505
South,East South Central,Mississippi,1961,2274
Midwest,West North Central,Missouri,1961,7266
West,Mountain,Montana,1961,457
Midwest,West North Central,Nebraska,1961,586
West,Mountain,Nevada,1961,549
Northeast,New England,New Hampshire,1961,89
Northeast,Middle Atlantic,New Jersey,1961,6682
West,Mountain,New Mexico,1961,1278
Northeast,Middle Atlantic,New York,1961,null
South,South Atlantic,North Carolina,1961,9275
Midwest,West North Central,North Dakota,1961,160
Midwest,East North Central,Ohio,1961,7986
South,West South Central,Oklahoma,1961,2437
West,Pacific,Oregon,1961,1242
Northeast,Middle Atlantic,Pennsylvania,1961,11223
Northeast,New England,Rhode Island,1961,372
South,South Atlantic,South Carolina,1961,3318
Midwest,West North Central,South Dakota,1961,245
South,East South Central,Tennessee,1961,3910
South,West South Central,Texas,1961,15441
West,Mountain,Utah,1961,451
Northeast,New England,Vermont,1961,79
South,South Atlantic,Virginia,1961,7555
West,Pacific,Washington,1961,1687
South,South Atlantic,West Virginia,1961,1167
Midwest,East North Central,Wisconsin,1961,1268
West,Mountain,Wyoming,1961,288
South,East South Central,Alabama,1962,5283
West,Pacific,Alaska,1962,225
West,Mountain,Arizona,1962,2610
South,West South Central,Arkansas,1962,1667
West,Pacific,California,1962,39846
West,Mountain,Colorado,1962,2990
Northeast,New England,Connecticut,1962,938
South,South Atlantic,Delaware,1962,338
South,South Atlantic,District of Columbia,1962,4750
South,South Atlantic,Florida,1962,10489
South,South Atlantic,Georgia,1962,6200
West,Pacific,Hawaii,1962,256
West,Mountain,Idaho,1962,234
Midwest,East North Central,Illinois,1962,38926
Midwest,East North Central,Indiana,1962,4191
Midwest,West North Central,Iowa,1962,559
Midwest,West North Central,Kansas,1962,1477
South,East South Central,Kentucky,1962,2963
South,West South Central,Louisiana,1962,4570
Northeast,New England,Maine,1962,277
South,South Atlantic,Maryland,1962,4915
Northeast,New England,Massachusetts,1962,3207
Midwest,East North Central,Michigan,1962,18106
Midwest,West North Central,Minnesota,1962,1674
South,East South Central,Mississippi,1962,2079
Midwest,West North Central,Missouri,1962,8059
West,Mountain,Montana,1962,390
Midwest,West North Central,Nebraska,1962,637
West,Mountain,Nevada,1962,711
Northeast,New England,New Hampshire,1962,178
Northeast,Middle Atlantic,New Jersey,1962,7874
West,Mountain,New Mexico,1962,1338
Northeast,Middle Atlantic,New York,1962,null
South,South Atlantic,North Carolina,1962,9533
Midwest,West North Central,North Dakota,1962,128
Midwest,East North Central,Ohio,1962,8366
South,West South Central,Oklahoma,1962,2478
West,Pacific,Oregon,1962,1461
Northeast,Middle Atlantic,Pennsylvania,1962,11856
Northeast,New England,Rhode Island,1962,402
South,South Atlantic,South Carolina,1962,3012
Midwest,West North Central,South Dakota,1962,279
South,East South Central,Tennessee,1962,3767
South,West South Central,Texas,1962,15516
West,Mountain,Utah,1962,554
Northeast,New England,Vermont,1962,57
South,South Atlantic,Virginia,1962,7720
West,Pacific,Washington,1962,1913
South,South Atlantic,West Virginia,1962,1146
Midwest,East North Central,Wisconsin,1962,1174
West,Mountain,Wyoming,1962,156
South,East South Central,Alabama,1963,6115
West,Pacific,Alaska,1963,272
West,Mountain,Arizona,1963,3027
South,West South Central,Arkansas,1963,1991
West,Pacific,California,1963,42419
West,Mountain,Colorado,1963,2555
Northeast,New England,Connecticut,1963,1192
South,South Atlantic,Delaware,1963,424
South,South Atlantic,District of Columbia,1963,4740
South,South Atlantic,Florida,1963,12150
South,South Atlantic,Georgia,1963,7019
West,Pacific,Hawaii,1963,215
West,Mountain,Idaho,1963,362
Midwest,East North Central,Illinois,1963,33627
Midwest,East North Central,Indiana,1963,4819
Midwest,West North Central,Iowa,1963,629
Midwest,West North Central,Kansas,1963,1831
South,East South Central,Kentucky,1963,2849
South,West South Central,Louisiana,1963,5798
Northeast,New England,Maine,1963,306
South,South Atlantic,Maryland,1963,5283
Northeast,New England,Massachusetts,1963,3454
Midwest,East North Central,Michigan,1963,18478
Midwest,West North Central,Minnesota,1963,1983
South,East South Central,Mississippi,1963,1779
Midwest,West North Central,Missouri,1963,8629
West,Mountain,Montana,1963,414
Midwest,West North Central,Nebraska,1963,591
West,Mountain,Nevada,1963,755
Northeast,New England,New Hampshire,1963,164
Northeast,Middle Atlantic,New Jersey,1963,8849
West,Mountain,New Mexico,1963,1376
Northeast,Middle Atlantic,New York,1963,null
South,South Atlantic,North Carolina,1963,10038
Midwest,West North Central,North Dakota,1963,182
Midwest,East North Central,Ohio,1963,9086
South,West South Central,Oklahoma,1963,2808
West,Pacific,Oregon,1963,1393
Northeast,Middle Atlantic,Pennsylvania,1963,12678
Northeast,New England,Rhode Island,1963,500
South,South Atlantic,South Carolina,1963,4075
Midwest,West North Central,South Dakota,1963,278
South,East South Central,Tennessee,1963,3777
South,West South Central,Texas,1963,17511
West,Mountain,Utah,1963,598
Northeast,New England,Vermont,1963,92
South,South Atlantic,Virginia,1963,8259
West,Pacific,Washington,1963,2034
South,South Atlantic,West Virginia,1963,1185
Midwest,East North Central,Wisconsin,1963,1312
West,Mountain,Wyoming,1963,213
South,East South Central,Alabama,1964,7260
West,Pacific,Alaska,1964,375
West,Mountain,Arizona,1964,3368
South,West South Central,Arkansas,1964,2641
West,Pacific,California,1964,48026
West,Mountain,Colorado,1964,3119
Northeast,New England,Connecticut,1964,1773
South,South Atlantic,Delaware,1964,541
South,South Atlantic,District of Columbia,1964,5112
South,South Atlantic,Florida,1964,16539
South,South Atlantic,Georgia,1964,8285
West,Pacific,Hawaii,1964,575
West,Mountain,Idaho,1964,537
Midwest,East North Central,Illinois,1964,36916
Midwest,East North Central,Indiana,1964,6564
Midwest,West North Central,Iowa,1964,1007
Midwest,West North Central,Kansas,1964,2573
South,East South Central,Kentucky,1964,3486
South,West South Central,Louisiana,1964,7140
Northeast,New England,Maine,1964,506
South,South Atlantic,Maryland,1964,7446
Northeast,New England,Massachusetts,1964,4559
Midwest,East North Central,Michigan,1964,21153
Midwest,West North Central,Minnesota,1964,2601
South,East South Central,Mississippi,1964,4118
Midwest,West North Central,Missouri,1964,9553
West,Mountain,Montana,1964,564
Midwest,West North Central,Nebraska,1964,776
West,Mountain,Nevada,1964,983
Northeast,New England,New Hampshire,1964,149
Northeast,Middle Atlantic,New Jersey,1964,10456
West,Mountain,New Mexico,1964,1613
Northeast,Middle Atlantic,New York,1964,null
South,South Atlantic,North Carolina,1964,12345
Midwest,West North Central,North Dakota,1964,229
Midwest,East North Central,Ohio,1964,11582
South,West South Central,Oklahoma,1964,3609
West,Pacific,Oregon,1964,2009
Northeast,Middle Atlantic,Pennsylvania,1964,14162
Northeast,New England,Rhode Island,1964,578
South,South Atlantic,South Carolina,1964,4240
Midwest,West North Central,South Dakota,1964,408
South,East South Central,Tennessee,1964,4505
South,West South Central,Texas,1964,19769
West,Mountain,Utah,1964,888
Northeast,New England,Vermont,1964,89
South,South Atlantic,Virginia,1964,10561
West,Pacific,Washington,1964,2761
South,South Atlantic,West Virginia,1964,1359
Midwest,East North Central,Wisconsin,1964,1762
West,Mountain,Wyoming,1964,285
South,East South Central,Alabama,1965,6916
West,Pacific,Alaska,1965,377
West,Mountain,Arizona,1965,3092
South,West South Central,Arkansas,1965,2662
West,Pacific,California,1965,52490
West,Mountain,Colorado,1965,3007
Northeast,New England,Connecticut,1965,1973
South,South Atlantic,Delaware,1965,561
South,South Atlantic,District of Columbia,1965,5804
South,South Atlantic,Florida,1965,17386
South,South Atlantic,Georgia,1965,8777
West,Pacific,Hawaii,1965,491
West,Mountain,Idaho,1965,493
Midwest,East North Central,Illinois,1965,34345
Midwest,East North Central,Indiana,1965,6695
Midwest,West North Central,Iowa,1965,1067
Midwest,West North Central,Kansas,1965,2392
South,East South Central,Kentucky,1965,3463
South,West South Central,Louisiana,1965,7178
Northeast,New England,Maine,1965,437
South,South Atlantic,Maryland,1965,10032
Northeast,New England,Massachusetts,1965,5270
Midwest,East North Central,Michigan,1965,24459
Midwest,West North Central,Minnesota,1965,3074
South,East South Central,Mississippi,1965,3949
Midwest,West North Central,Missouri,1965,10588
West,Mountain,Montana,1965,514
Midwest,West North Central,Nebraska,1965,852
West,Mountain,Nevada,1965,953
Northeast,New England,New Hampshire,1965,156
Northeast,Middle Atlantic,New Jersey,1965,10422
West,Mountain,New Mexico,1965,2047
Northeast,Middle Atlantic,New York,1965,58802
South,South Atlantic,North Carolina,1965,12755
Midwest,West North Central,North Dakota,1965,223
Midwest,East North Central,Ohio,1965,12788
South,West South Central,Oklahoma,1965,3339
West,Pacific,Oregon,1965,2290
Northeast,Middle Atlantic,Pennsylvania,1965,16384
Northeast,New England,Rhode Island,1965,722
South,South Atlantic,South Carolina,1965,4504
Midwest,West North Central,South Dakota,1965,415
South,East South Central,Tennessee,1965,5333
South,West South Central,Texas,1965,21029
West,Mountain,Utah,1965,886
Northeast,New England,Vermont,1965,89
South,South Atlantic,Virginia,1965,10145
West,Pacific,Washington,1965,3081
South,South Atlantic,West Virginia,1965,1413
Midwest,East North Central,Wisconsin,1965,1911
West,Mountain,Wyoming,1965,257
South,East South Central,Alabama,1966,8098
West,Pacific,Alaska,1966,409
West,Mountain,Arizona,1966,3272
South,West South Central,Arkansas,1966,3185
West,Pacific,California,1966,57718
West,Mountain,Colorado,1966,3340
Northeast,New England,Connecticut,1966,2146
South,South Atlantic,Delaware,1966,655
South,South Atlantic,District of Columbia,1966,7155
South,South Atlantic,Florida,1966,20069
South,South Atlantic,Georgia,1966,9066
West,Pacific,Hawaii,1966,598
West,Mountain,Idaho,1966,461
Midwest,East North Central,Illinois,1966,39116
Midwest,East North Central,Indiana,1966,7196
Midwest,West North Central,Iowa,1966,1214
Midwest,West North Central,Kansas,1966,2517
South,East South Central,Kentucky,1966,4191
South,West South Central,Louisiana,1966,8689
Northeast,New England,Maine,1966,486
South,South Atlantic,Maryland,1966,11236
Northeast,New England,Massachusetts,1966,6201
Midwest,East North Central,Michigan,1966,27806
Midwest,West North Central,Minnesota,1966,3691
South,East South Central,Mississippi,1966,3504
Midwest,West North Central,Missouri,1966,11149
West,Mountain,Montana,1966,507
Midwest,West North Central,Nebraska,1966,941
West,Mountain,Nevada,1966,987
Northeast,New England,New Hampshire,1966,259
Northeast,Middle Atlantic,New Jersey,1966,11168
West,Mountain,New Mexico,1966,2221
Northeast,Middle Atlantic,New York,1966,62561
South,South Atlantic,North Carolina,1966,14775
Midwest,West North Central,North Dakota,1966,231
Midwest,East North Central,Ohio,1966,15626
South,West South Central,Oklahoma,1966,3552
West,Pacific,Oregon,1966,2470
Northeast,Middle Atlantic,Pennsylvania,1966,15169
Northeast,New England,Rhode Island,1966,849
South,South Atlantic,South Carolina,1966,5844
Midwest,West North Central,South Dakota,1966,568
South,East South Central,Tennessee,1966,6145
South,West South Central,Texas,1966,24382
West,Mountain,Utah,1966,1148
Northeast,New England,Vermont,1966,80
South,South Atlantic,Virginia,1966,10399
West,Pacific,Washington,1966,3673
South,South Atlantic,West Virginia,1966,1613
Midwest,East North Central,Wisconsin,1966,1984
West,Mountain,Wyoming,1966,273
South,East South Central,Alabama,1967,8448
West,Pacific,Alaska,1967,437
West,Mountain,Arizona,1967,3892
South,West South Central,Arkansas,1967,4320
West,Pacific,California,1967,67446
West,Mountain,Colorado,1967,3789
Northeast,New England,Connecticut,1967,2804
South,South Atlantic,Delaware,1967,948
South,South Atlantic,District of Columbia,1967,9252
South,South Atlantic,Florida,1967,23399
South,South Atlantic,Georgia,1967,8536
West,Pacific,Hawaii,1967,591
West,Mountain,Idaho,1967,478
Midwest,East North Central,Illinois,1967,42956
Midwest,East North Central,Indiana,1967,8143
Midwest,West North Central,Iowa,1967,1608
Midwest,West North Central,Kansas,1967,3248
South,East South Central,Kentucky,1967,4484
South,West South Central,Louisiana,1967,10071
Northeast,New England,Maine,1967,621
South,South Atlantic,Maryland,1967,17458
Northeast,New England,Massachusetts,1967,6919
Midwest,East North Central,Michigan,1967,33390
Midwest,West North Central,Minnesota,1967,4727
South,East South Central,Mississippi,1967,2672
Midwest,West North Central,Missouri,1967,12746
West,Mountain,Montana,1967,588
Midwest,West North Central,Nebraska,1967,1624
West,Mountain,Nevada,1967,1100
Northeast,New England,New Hampshire,1967,218
Northeast,Middle Atlantic,New Jersey,1967,13204
West,Mountain,New Mexico,1967,2325
Northeast,Middle Atlantic,New York,1967,75124
South,South Atlantic,North Carolina,1967,15995
Midwest,West North Central,North Dakota,1967,185
Midwest,East North Central,Ohio,1967,19344
South,West South Central,Oklahoma,1967,3703
West,Pacific,Oregon,1967,3147
Northeast,Middle Atlantic,Pennsylvania,1967,16119
Northeast,New England,Rhode Island,1967,1156
South,South Atlantic,South Carolina,1967,6015
Midwest,West North Central,South Dakota,1967,586
South,East South Central,Tennessee,1967,8111
South,West South Central,Texas,1967,26749
West,Mountain,Utah,1967,1194
Northeast,New England,Vermont,1967,86
South,South Atlantic,Virginia,1967,10328
West,Pacific,Washington,1967,4754
South,South Atlantic,West Virginia,1967,1744
Midwest,East North Central,Wisconsin,1967,2948
West,Mountain,Wyoming,1967,294
South,East South Central,Alabama,1968,8288
West,Pacific,Alaska,1968,486
West,Mountain,Arizona,1968,4402
South,West South Central,Arkansas,1968,4360
West,Pacific,California,1968,81293
West,Mountain,Colorado,1968,5387
Northeast,New England,Connecticut,1968,3825
South,South Atlantic,Delaware,1968,1288
South,South Atlantic,District of Columbia,1968,12180
South,South Atlantic,Florida,1968,27913
South,South Atlantic,Georgia,1968,9903
West,Pacific,Hawaii,1968,662
West,Mountain,Idaho,1968,518
Midwest,East North Central,Illinois,1968,44776
Midwest,East North Central,Indiana,1968,10229
Midwest,West North Central,Iowa,1968,1882
Midwest,West North Central,Kansas,1968,3463
South,East South Central,Kentucky,1968,5317
South,West South Central,Louisiana,1968,11742
Northeast,New England,Maine,1968,633
South,South Atlantic,Maryland,1968,23405
Northeast,New England,Massachusetts,1968,8916
Midwest,East North Central,Michigan,1968,37292
Midwest,West North Central,Minnesota,1968,5111
South,East South Central,Mississippi,1968,3397
Midwest,West North Central,Missouri,1968,15216
West,Mountain,Montana,1968,610
Midwest,West North Central,Nebraska,1968,2103
West,Mountain,Nevada,1968,1261
Northeast,New England,New Hampshire,1968,279
Northeast,Middle Atlantic,New Jersey,1968,16711
West,Mountain,New Mexico,1968,2543
Northeast,Middle Atlantic,New York,1968,98515
South,South Atlantic,North Carolina,1968,18025
Midwest,West North Central,North Dakota,1968,173
Midwest,East North Central,Ohio,1968,21228
South,West South Central,Oklahoma,1968,4473
West,Pacific,Oregon,1968,3955
Northeast,Middle Atlantic,Pennsylvania,1968,20710
Northeast,New England,Rhode Island,1968,1254
South,South Atlantic,South Carolina,1968,5853
Midwest,West North Central,South Dakota,1968,563
South,East South Central,Tennessee,1968,8766
South,West South Central,Texas,1968,29646
West,Mountain,Utah,1968,1201
Northeast,New England,Vermont,1968,157
South,South Atlantic,Virginia,1968,12821
West,Pacific,Washington,1968,6970
South,South Atlantic,West Virginia,1968,1959
Midwest,East North Central,Wisconsin,1968,3400
West,Mountain,Wyoming,1968,278
South,East South Central,Alabama,1969,8842
West,Pacific,Alaska,1969,624
West,Mountain,Arizona,1969,5742
South,West South Central,Arkansas,1969,4390
West,Pacific,California,1969,89878
West,Mountain,Colorado,1969,6275
Northeast,New England,Connecticut,1969,4415
South,South Atlantic,Delaware,1969,1588
South,South Atlantic,District of Columbia,1969,17038
South,South Atlantic,Florida,1969,29411
South,South Atlantic,Georgia,1969,11235
West,Pacific,Hawaii,1969,684
West,Mountain,Idaho,1969,806
Midwest,East North Central,Illinois,1969,49543
Midwest,East North Central,Indiana,1969,10141
Midwest,West North Central,Iowa,1969,1918
Midwest,West North Central,Kansas,1969,3873
South,East South Central,Kentucky,1969,5745
South,West South Central,Louisiana,1969,13492
Northeast,New England,Maine,1969,733
South,South Atlantic,Maryland,1969,24295
Northeast,New England,Massachusetts,1969,10272
Midwest,East North Central,Michigan,1969,44048
Midwest,West North Central,Minnesota,1969,5253
South,East South Central,Mississippi,1969,3354
Midwest,West North Central,Missouri,1969,18260
West,Mountain,Montana,1969,682
Midwest,West North Central,Nebraska,1969,2302
West,Mountain,Nevada,1969,1642
Northeast,New England,New Hampshire,1969,325
Northeast,Middle Atlantic,New Jersey,1969,17226
West,Mountain,New Mexico,1969,2881
Northeast,Middle Atlantic,New York,1969,105870
South,South Atlantic,North Carolina,1969,18117
Midwest,West North Central,North Dakota,1969,220
Midwest,East North Central,Ohio,1969,26648
South,West South Central,Oklahoma,1969,4775
West,Pacific,Oregon,1969,4527
Northeast,Middle Atlantic,Pennsylvania,1969,22887
Northeast,New England,Rhode Island,1969,1594
South,South Atlantic,South Carolina,1969,6449
Midwest,West North Central,South Dakota,1969,510
South,East South Central,Tennessee,1969,9235
South,West South Central,Texas,1969,36707
West,Mountain,Utah,1969,1460
Northeast,New England,Vermont,1969,234
South,South Atlantic,Virginia,1969,12433
West,Pacific,Washington,1969,8243
South,South Atlantic,West Virginia,1969,1766
Midwest,East North Central,Wisconsin,1969,3411
West,Mountain,Wyoming,1969,286
South,East South Central,Alabama,1970,10185
West,Pacific,Alaska,1970,840
West,Mountain,Arizona,1970,6564
South,West South Central,Arkansas,1970,4276
West,Pacific,California,1970,94741
West,Mountain,Colorado,1970,7874
Northeast,New England,Connecticut,1970,5167
South,South Atlantic,Delaware,1970,1795
South,South Atlantic,District of Columbia,1970,16846
South,South Atlantic,Florida,1970,33824
South,South Atlantic,Georgia,1970,13976
West,Pacific,Hawaii,1970,938
West,Mountain,Idaho,1970,879
Midwest,East North Central,Illinois,1970,52006
Midwest,East North Central,Indiana,1970,12184
Midwest,West North Central,Iowa,1970,2241
Midwest,West North Central,Kansas,1970,4561
South,East South Central,Kentucky,1970,7157
South,West South Central,Louisiana,1970,15063
Northeast,New England,Maine,1970,887
South,South Atlantic,Maryland,1970,24512
Northeast,New England,Massachusetts,1970,11542
Midwest,East North Central,Michigan,1970,51090
Midwest,West North Central,Minnesota,1970,5782
South,East South Central,Mississippi,1970,3974
Midwest,West North Central,Missouri,1970,18986
West,Mountain,Montana,1970,774
Midwest,West North Central,Nebraska,1970,2731
West,Mountain,Nevada,1970,1948
Northeast,New England,New Hampshire,1970,413
Northeast,Middle Atlantic,New Jersey,1970,20583
West,Mountain,New Mexico,1970,3093
Northeast,Middle Atlantic,New York,1970,124613
South,South Atlantic,North Carolina,1970,18814
Midwest,West North Central,North Dakota,1970,211
Midwest,East North Central,Ohio,1970,30279
South,West South Central,Oklahoma,1970,5194
West,Pacific,Oregon,1970,5373
Northeast,Middle Atlantic,Pennsylvania,1970,25970
Northeast,New England,Rhode Island,1970,1944
South,South Atlantic,South Carolina,1970,7412
Midwest,West North Central,South Dakota,1970,616
South,East South Central,Tennessee,1970,10787
South,West South Central,Texas,1970,40897
West,Mountain,Utah,1970,1459
Northeast,New England,Vermont,1970,329
South,South Atlantic,Virginia,1970,14040
West,Pacific,Washington,1970,7546
South,South Atlantic,West Virginia,1970,2158
Midwest,East North Central,Wisconsin,1970,3792
West,Mountain,Wyoming,1970,376
South,East South Central,Alabama,1971,10835
West,Pacific,Alaska,1971,1112
West,Mountain,Arizona,1971,7407
South,West South Central,Arkansas,1971,4680
West,Pacific,California,1971,104872
West,Mountain,Colorado,1971,8530
Northeast,New England,Connecticut,1971,5968
South,South Atlantic,Delaware,1971,2060
South,South Atlantic,District of Columbia,1971,16084
South,South Atlantic,Florida,1971,38575
South,South Atlantic,Georgia,1971,15898
West,Pacific,Hawaii,1971,1830
West,Mountain,Idaho,1971,917
Midwest,East North Central,Illinois,1971,53436
Midwest,East North Central,Indiana,1971,13031
Midwest,West North Central,Iowa,1971,2822
Midwest,West North Central,Kansas,1971,4843
South,East South Central,Kentucky,1971,7717
South,West South Central,Louisiana,1971,15208
Northeast,New England,Maine,1971,903
South,South Atlantic,Maryland,1971,24857
Northeast,New England,Massachusetts,1971,15317
Midwest,East North Central,Michigan,1971,51697
Midwest,West North Central,Minnesota,1971,5993
South,East South Central,Mississippi,1971,6151
Midwest,West North Central,Missouri,1971,18357
West,Mountain,Montana,1971,971
Midwest,West North Central,Nebraska,1971,2355
West,Mountain,Nevada,1971,1887
Northeast,New England,New Hampshire,1971,580
Northeast,Middle Atlantic,New Jersey,1971,26441
